Location,TST,Tag,plant,farm,tx2,month2,Time,Status,plantx,plantreal,season,plantx2,plantx3
MAZINGA,Plant,95627,Ficus ingens,P3,,1,1,2,0,0,Rainy,0,0
MAZINGA,Plant,95646,Ficus ingens,P10,plantpl,2,224,1,1,1,Rainy,1,1
MAZINGA,Plant,95655,Ficus ingens,P4,,4,70,1,4,4,Rainy,4+,4+
MKWINDA,Drug,95692,,D12,nonedr,3,393,1,4,0,Rainy,4+,0
MKWINDA,Drug,97890,,D11,nonedr,3,1,2,0,0,Rainy,0,0
MKWINDA,Drug,97895,,D11,nonedr,3,393,1,2,0,Rainy,2,0
KAMCHEZERA,Drug,97957,,D10,nonedr,2,224,1,0,0,Rainy,0,0
KAMCHEZERA,Drug,98021,,D27,drugdr,2,112,2,3,0,Rainy,3,0
MKWINDA,Drug,98175,,D18,nonedr,3,351,1,0,0,Rainy,0,0
MKWINDA,Drug,98263,,D15,nonedr,3,127,2,5,0,Rainy,4+,0
MKWINDA,Drug,98266,,D15,,5,113,1,0,0,Dry,0,0
KAMCHEZERA,Drug,98453,,D26,,9,14,1,0,0,Dry,0,0
KAMCHEZERA,Drug,98465,,D26,,1,98,2,4,0,Rainy,4+,0
KAMCHEZERA,Drug,98481,,D7,,4,42,2,2,0,Rainy,2,0
MKWINDA,Drug,98580,,D13,nonedr,3,393,1,4,0,Rainy,4+,0
KAMCHEZERA,Drug,98880,,D7,,5,98,1,4,0,Dry,4+,0
MAZINGA,Plant,98896,Ficus ingens,P1,nonepl,1,1,1,0,0,Rainy,0,0
MAZINGA,Plant,98897,Ficus ingens,P1,nonepl,1,1,1,0,0,Rainy,0,0
MKWINDA,Drug,99081,,D11,drugdr,3,28,2,2,0,Rainy,2,0
MKWINDA,Drug,99083,,D14,nonedr,3,42,2,3,0,Rainy,3,0
MKWINDA,Drug,99084,,D14,,4,85,1,5,0,Dry,4+,0
MKWINDA,Drug,99316,,D13,,12,309,1,3,0,Rainy,3,0
KAMCHEZERA,Drug,99340,,D2,nonedr,2,392,1,1,0,Rainy,1,0
KAMCHEZERA,Drug,99380,,D25,nonedr,2,182,1,0,0,Rainy,0,0
KAMCHEZERA,Drug,99455,,D2,nonedr,2,392,1,1,0,Rainy,1,0
MKWINDA,Drug,99514,,D14,nonedr,3,393,1,2,0,Rainy,2,0
MKWINDA,Drug,99515,,D14,nonedr,3,393,1,0,0,Rainy,0,0
MKWINDA,Drug,140m,,D17,nonedr,3,365,1,2,0,Rainy,2,0
MKWINDA,Drug,141m,,D17,nonedr,3,14,2,1,0,Rainy,1,0
MAZINGA,Plant,14new,Ficus ingens,P3,nonepl,2,84,1,0,0,Rainy,0,0
MKWINDA,Drug,17TD6,,D12,,11,239,2,1,0,Rainy,1,0
MKWINDA,Drug,24TD1,,D11,drugdr,3,337,2,5,0,Rainy,4+,0
MAZINGA,Plant,black 94,Ficus ingens,P1,nonepl,1,1,1,0,0,Rainy,0,0
